Freq(GHz),length of patch in mm,width of patch in mm,Slot length in mm,slot width in mm,s11(dB)
2.86,42,34,5,0,-23.32
3.18,35,36,0,5,-20.93
4.11,34,31,2,5,-20.59
4.42,59,50,2,0,-29.09
3.27,54,33,2,2,-25.58
3.79,33,48,5,4,-25.84
3.99,55,30,5,1,-22.71
4.68,55,42,0,2,-23.0
4.94,45,50,4,0,-23.98
2.76,39,26,0,0,-18.97
4.79,47,49,5,5,-23.08
3.77,43,40,2,0,-19.88
2.98,52,31,2,2,-27.23
2.51,44,35,0,4,-20.62
4.42,43,45,5,0,-20.0
3.56,47,26,4,5,-25.13
2.76,40,40,4,2,-18.36
3.76,34,29,5,4,-19.13
4.5,46,29,1,1,-18.59
2.53,45,28,0,4,-21.81
3.69,49,41,3,1,-19.48
2.56,34,27,4,5,-18.09
4.32,31,30,1,3,-19.84
3.93,57,32,3,5,-20.63
4.09,33,25,3,5,-24.57
3.67,37,38,1,0,-19.27
4.96,41,47,2,3,-27.77
3.8,47,35,5,5,-27.9
4.54,55,48,2,2,-29.86
2.9,32,43,5,2,-25.76
4.82,51,34,2,3,-26.17
4.29,32,43,1,4,-23.13
3.75,46,31,2,1,-25.57
3.89,51,46,5,5,-24.77
3.66,34,28,5,2,-17.07
3.47,57,50,1,5,-23.41
3.35,51,42,5,2,-29.22
3.98,56,42,0,0,-25.94
3.11,37,28,5,0,-23.74
2.49,42,30,2,0,-24.23
3.09,50,49,2,3,-28.53
3.69,49,32,1,5,-23.36
2.85,43,39,5,1,-27.9
3.22,42,27,5,5,-26.3
2.63,54,34,1,5,-27.41
2.83,33,31,4,2,-22.76
2.59,36,37,1,1,-24.26
4.37,30,43,0,4,-21.36
4.09,41,31,4,2,-22.04
3.99,31,27,2,0,-21.24
3.79,57,49,1,0,-25.93
3.37,53,29,3,1,-22.88
3.81,56,28,5,4,-27.53
4.56,51,39,5,3,-22.83
4.03,58,43,3,2,-21.73
3.12,42,46,1,3,-27.51
4.57,36,33,4,1,-20.13
4.09,59,31,0,4,-28.82
3.14,58,47,3,1,-24.76
3.31,52,25,3,0,-22.81
4.69,30,36,2,0,-22.89
3.16,33,34,5,2,-17.26
4.71,45,31,4,2,-23.43
4.3,33,30,0,5,-23.12
3.91,52,45,1,2,-23.61
4.18,32,44,3,4,-25.8
3.99,34,28,3,3,-24.57
4.21,36,33,5,4,-22.76
4.26,54,33,2,5,-19.88
4.48,36,50,4,1,-20.09
3.3,54,29,5,5,-19.24
4.31,43,40,3,0,-21.42
2.84,34,45,5,5,-25.26
2.54,35,25,0,5,-19.17
2.73,46,42,2,5,-22.79
3.11,36,46,5,1,-25.4
3.38,55,44,1,5,-24.33
3.95,44,39,1,1,-25.0
3.87,51,44,4,2,-24.71
3.37,34,32,3,2,-18.42
2.72,52,41,4,5,-27.49
3.7,58,38,2,2,-27.88
3.29,52,39,1,5,-23.67
4.2,39,50,5,2,-24.22
4.67,55,45,5,2,-20.39
2.99,36,25,3,5,-24.6
3.78,30,45,2,5,-17.61
2.63,39,29,4,1,-25.84
2.93,54,29,2,5,-26.98
2.46,56,31,1,1,-19.36
4.59,39,33,2,2,-20.51
2.76,49,35,5,4,-23.98
4.38,60,29,1,4,-25.86
4.84,33,35,3,2,-22.77
2.44,45,47,4,4,-27.31
4.1,47,48,0,0,-23.19
3.09,55,32,4,3,-24.64
3.21,30,48,4,4,-20.44
4.64,50,45,3,5,-27.06
3.76,60,38,3,3,-29.16
3.09,53,33,4,1,-19.38
2.91,56,25,0,1,-19.78
3.04,58,29,5,2,-21.72
2.52,50,43,0,2,-27.85
3.7,43,37,5,3,-20.88
4.93,60,48,3,0,-29.58
4.95,56,26,5,5,-20.14
4.55,43,33,5,0,-23.53
3.39,42,30,5,0,-19.34
3.46,57,26,1,3,-18.75
3.18,45,45,4,4,-23.97
4.92,54,32,1,5,-26.17
2.56,47,35,2,5,-26.59
3.92,45,33,2,3,-19.16
2.95,55,42,2,2,-29.57
2.83,48,42,2,5,-23.38
4.92,56,46,3,2,-28.04
3.43,36,45,4,1,-20.11
2.63,54,29,3,4,-21.71
3.81,59,43,4,2,-28.3
4.69,52,36,0,4,-23.96
3.2,30,40,4,1,-18.85
2.71,45,38,2,3,-20.39
4.3,51,26,2,1,-25.63
4.51,45,33,5,4,-20.24
3.99,39,32,0,2,-20.89
3.64,41,28,2,3,-17.6
3.87,58,26,4,0,-21.91
2.64,59,49,1,3,-28.72
4.25,59,38,1,5,-26.92
3.31,34,45,3,1,-27.31
2.82,30,45,1,3,-25.37
2.89,30,32,1,2,-22.56
3.26,43,42,1,0,-22.29
4.07,53,36,2,4,-24.31
2.43,34,36,4,0,-20.9
3.14,52,26,5,3,-25.11
2.95,50,46,4,5,-27.31
2.96,35,35,1,5,-18.91
2.57,53,46,2,1,-24.28
4.28,30,30,2,2,-24.74
3.91,47,32,4,2,-23.74
2.47,33,34,5,4,-18.34
3.72,55,40,0,4,-28.34
3.86,43,41,4,5,-21.43
4.43,47,42,0,2,-21.45
4.68,37,26,5,1,-20.76
3.93,50,45,0,4,-23.44
2.51,48,46,2,4,-25.77
3.25,39,32,5,4,-18.11
3.12,41,35,3,1,-25.92
3.86,35,28,0,3,-22.34
4.96,54,33,1,4,-23.99
3.93,53,46,3,0,-29.59
3.3,57,32,0,4,-24.48
4.52,51,45,0,3,-25.61
3.97,58,25,2,5,-27.66
3.56,40,26,5,0,-20.54
3.17,47,44,1,5,-25.13
4.81,52,40,2,1,-28.63
4.03,54,31,2,1,-19.78
2.48,44,25,4,3,-20.15
3.29,52,29,0,4,-27.7
2.68,39,45,3,2,-22.94
3.72,40,25,0,2,-18.69
4.82,35,43,5,3,-20.07
4.1,59,46,5,1,-30.24
4.02,38,40,0,5,-23.59
2.63,36,49,1,3,-20.65
3.56,47,34,3,3,-25.49
4.26,35,26,2,5,-21.61
3.25,33,29,1,5,-16.47
2.89,56,36,2,5,-26.14
4.83,41,46,5,1,-19.46
4.99,55,47,1,2,-29.14
2.81,36,50,4,5,-26.35
4.83,49,34,5,4,-26.66
2.73,55,26,5,1,-19.1
3.44,56,28,2,5,-25.28
3.6,49,47,4,0,-29.09
3.19,38,47,5,5,-22.3
2.53,57,44,3,3,-23.27
4.5,52,26,0,1,-20.53
4.7,52,43,2,3,-27.77
3.48,35,39,1,1,-20.42
4.7,56,33,4,2,-24.42
2.65,56,37,2,5,-19.72
4.82,44,25,2,5,-23.26
3.4,33,25,4,3,-22.51
3.7,55,28,3,4,-25.53
3.04,46,36,1,2,-26.52
3.51,38,25,2,0,-20.11
3.41,30,38,4,5,-18.29
4.93,48,37,0,1,-24.6
2.86,57,49,4,4,-27.68
3.2,32,25,0,2,-18.95
4.47,60,49,4,3,-23.74
3.24,54,34,5,0,-22.28
3.87,54,32,0,3,-21.58
4.73,52,47,1,5,-25.38
4.26,58,29,3,2,-21.94
2.8,60,31,4,1,-20.21
3.15,56,29,3,1,-22.2
4.06,30,47,3,1,-17.96
2.94,43,39,2,2,-22.62
4.96,53,41,4,1,-27.7
4.75,60,37,5,3,-22.52
2.43,36,28,5,5,-25.07
4.55,41,29,0,5,-19.99
3.06,33,48,0,2,-20.18
3.01,42,44,1,3,-22.74
2.55,57,42,4,3,-24.23
2.6,41,39,2,0,-24.65
2.64,58,28,1,4,-22.54
2.43,59,42,3,3,-30.01
3.99,46,27,1,4,-26.57
4.41,33,37,0,1,-18.66
3.69,60,29,5,1,-23.57
4.7,49,33,5,1,-21.41
2.96,58,28,0,5,-26.7
3.75,52,50,0,1,-26.73
2.52,56,42,5,0,-28.38
4.38,52,43,2,5,-23.47
3.38,41,50,1,4,-27.6
4.82,32,32,2,0,-16.57
3.89,50,40,3,1,-23.72
4.71,58,39,2,1,-28.1
4.07,58,28,2,2,-27.29
4.6,31,29,2,4,-20.3
2.99,52,31,0,0,-23.18
4.15,33,28,3,4,-17.5
2.42,45,46,4,3,-19.87
4.13,36,41,5,1,-20.3
2.89,33,35,1,1,-25.24
3.14,46,41,4,2,-23.13
3.73,49,39,2,1,-28.28
3.9,52,25,0,1,-25.5
4.93,30,29,3,5,-22.43
3.88,38,39,5,1,-21.41
3.81,58,41,5,1,-29.24
3.13,46,26,4,5,-18.84
2.89,54,31,3,2,-18.95
3.13,38,34,2,5,-18.87
3.72,33,35,4,1,-16.88
3.72,50,46,4,0,-20.3
4.63,53,35,3,3,-23.9
3.93,31,33,5,5,-22.83
3.73,48,32,3,4,-24.96
3.71,57,44,2,1,-24.66
4.8,45,32,4,1,-25.32
3.98,52,41,2,0,-29.12
2.54,33,35,3,0,-26.39
3.39,52,38,5,2,-25.4
4.19,59,42,1,3,-21.46
3.0,46,36,2,2,-20.95
4.94,48,26,0,1,-23.94
2.44,48,29,0,2,-23.97
2.79,40,30,4,2,-23.8
4.85,55,36,2,5,-22.28
4.21,33,44,0,5,-22.72
3.74,30,26,4,3,-18.77
3.54,42,40,0,1,-27.59
3.2,51,38,1,4,-25.36
2.92,34,48,2,4,-25.76
4.36,58,32,3,3,-26.88
2.56,36,39,0,0,-26.53
4.74,50,32,1,2,-20.38
4.37,58,35,3,5,-23.6
2.76,42,35,1,0,-19.83
3.54,49,48,1,5,-29.24
2.45,41,25,4,3,-19.65
3.77,37,35,0,5,-21.69
4.83,51,50,5,3,-28.92
2.91,60,42,2,3,-26.03
3.85,31,37,5,1,-18.12
3.06,32,48,3,1,-24.16
3.27,49,32,4,0,-21.21
3.52,43,33,3,5,-24.41
3.22,54,27,1,5,-26.52
2.85,48,25,0,4,-26.67
3.98,39,40,2,0,-19.32
4.41,31,41,2,2,-26.5
4.55,37,35,2,0,-21.33
3.44,52,37,0,5,-19.68
3.7,48,48,5,2,-25.57
2.57,57,29,3,0,-23.14
3.88,31,36,1,0,-22.31
2.42,34,43,3,1,-18.58
4.51,53,37,0,4,-27.28
2.53,31,48,1,4,-23.39
3.9,55,26,2,0,-18.39
3.01,48,31,4,3,-25.15
3.07,41,32,5,1,-26.77
2.85,32,25,5,0,-23.06
4.69,59,49,5,1,-28.36
4.94,57,44,4,5,-23.19
4.99,48,36,4,0,-25.46
4.77,42,27,4,0,-17.79
3.89,39,37,5,4,-26.27
3.89,30,42,0,3,-17.77
4.9,30,41,4,2,-26.17
4.21,53,40,2,3,-24.43
3.03,42,27,0,5,-17.27
4.73,35,43,0,4,-26.41
3.1,37,29,3,1,-25.47
4.38,48,26,4,2,-20.38
3.5,45,47,2,2,-28.05
3.49,44,48,3,5,-19.69
4.51,31,41,4,1,-22.75
3.45,43,30,3,4,-23.04
3.47,41,26,4,2,-25.12
4.23,53,27,1,2,-25.5
4.72,46,33,5,1,-25.29
3.59,55,38,1,4,-19.57
3.0,45,43,2,4,-21.78
4.31,32,30,0,2,-16.59
4.07,55,44,2,2,-21.18
4.75,55,44,2,5,-24.85
4.55,49,29,1,0,-24.83
4.1,36,37,1,2,-21.35
4.98,42,48,1,2,-24.09
2.79,36,29,0,2,-22.81
2.72,54,29,2,4,-21.09
2.68,40,32,3,0,-23.94
3.12,42,34,3,3,-17.98
2.6,43,40,0,0,-27.7
2.62,38,48,5,4,-27.87
4.5,53,25,1,2,-22.68
3.61,56,42,1,0,-22.76
4.14,37,44,2,2,-18.56
2.85,53,46,5,5,-20.28
2.5,32,50,2,1,-20.88
3.62,50,28,4,0,-26.42
2.93,51,26,1,1,-24.18
4.0,33,43,4,5,-22.77
2.7,54,32,4,4,-22.84
3.35,56,30,2,0,-27.57
4.67,58,43,4,1,-30.08
3.24,53,34,0,1,-21.71
2.95,48,44,2,5,-24.31
4.62,52,50,3,3,-27.34
4.8,40,50,3,3,-20.34
2.81,40,49,3,1,-27.71
3.64,42,48,4,3,-22.88
3.18,47,42,2,1,-24.87
2.42,41,25,4,1,-22.93
2.91,33,38,5,3,-18.45
4.6,55,41,1,1,-28.11
4.77,56,36,3,1,-21.12
4.11,35,39,4,2,-24.51
2.81,48,48,5,3,-28.12
4.53,43,27,3,0,-19.74
4.4,41,29,4,4,-26.63
2.98,39,43,0,4,-19.85
2.75,59,49,1,3,-25.72
3.7,40,27,2,3,-18.0
3.88,40,48,3,1,-19.61
4.48,44,34,0,2,-25.46
3.19,33,30,2,0,-20.88
2.98,57,34,5,2,-21.34
3.2,57,40,1,0,-28.9
4.98,59,38,3,2,-21.61
2.54,59,35,4,1,-22.48
3.67,31,32,5,5,-24.75
4.53,43,49,3,3,-20.31
4.22,51,40,1,3,-24.03
3.21,55,25,5,4,-23.3
4.85,41,44,4,0,-25.5
2.8,57,49,3,2,-24.39
4.51,44,43,1,4,-21.32
3.84,45,40,3,4,-24.2
2.54,48,50,1,1,-22.9
3.79,44,44,4,2,-28.06
2.5,35,30,1,1,-20.87
3.94,35,33,1,0,-22.99
4.97,38,32,2,5,-18.37
2.42,49,43,2,2,-28.02
2.47,43,34,2,3,-23.07
4.06,40,44,1,0,-19.35
2.59,42,50,1,2,-25.76
4.78,58,36,5,4,-26.62
4.52,35,40,4,5,-26.81
3.96,50,31,5,2,-19.06
4.97,43,46,0,4,-26.87
3.75,33,34,5,0,-26.69
4.73,34,25,5,5,-21.8
2.89,47,34,3,1,-18.16
4.67,57,33,3,4,-19.25
2.75,44,31,5,2,-24.05
2.48,39,26,3,1,-16.62
2.59,60,44,0,4,-23.89
2.98,37,42,0,5,-25.23
4.32,44,33,4,1,-21.06
3.99,43,32,5,4,-23.83
4.76,42,44,1,4,-24.67
3.67,33,31,2,1,-26.31
3.07,52,27,5,5,-24.06
4.16,39,33,2,2,-18.35
2.53,48,29,1,5,-26.61
3.91,45,27,0,2,-21.96
2.83,58,30,2,1,-28.34
3.41,40,46,3,0,-26.11
2.93,49,32,5,4,-21.93
4.92,43,46,0,1,-25.06
4.6,51,47,0,1,-27.85
4.39,37,34,1,5,-20.8
4.68,53,35,5,1,-20.96
4.75,53,29,1,2,-21.76
4.06,39,44,1,2,-27.86
3.67,38,41,1,0,-20.49
2.87,48,45,5,4,-19.77
2.76,34,48,3,4,-26.37
4.22,59,36,4,2,-24.44
2.81,45,41,1,5,-20.68
4.82,47,38,0,0,-22.34
3.55,57,26,4,1,-26.73
2.75,50,27,3,3,-18.64
4.02,45,39,1,4,-25.64
3.91,38,48,5,1,-25.53
3.01,52,35,4,4,-24.42
3.03,52,25,3,4,-26.6
3.7,52,42,1,3,-22.72
2.7,36,26,5,1,-24.16
4.82,45,34,5,2,-21.03
4.63,42,42,2,0,-22.72
4.18,58,50,0,5,-29.43
4.03,36,43,5,0,-21.44
3.51,57,38,0,1,-26.33
3.12,42,31,3,4,-23.63
3.57,43,31,5,5,-20.96
3.42,32,26,3,5,-21.04
2.59,43,27,2,1,-17.2
4.55,31,47,5,2,-27.32
2.54,36,50,2,3,-21.01
3.77,60,32,4,2,-24.47
4.16,43,47,1,0,-22.89
2.8,40,30,3,1,-18.77
4.13,52,46,5,3,-26.47
3.41,42,48,5,1,-28.37
3.83,36,32,4,2,-18.05
3.58,50,26,5,4,-25.48
3.07,57,26,1,4,-20.88
3.42,45,33,5,3,-22.39
3.96,47,38,5,3,-23.61
3.4,33,43,0,1,-21.24
2.95,30,30,4,0,-20.24
3.1,55,26,4,3,-20.29
2.94,47,30,3,1,-20.32
4.96,60,44,0,5,-28.12
3.6,56,26,2,3,-21.5
4.06,54,34,0,3,-28.59
3.93,58,32,5,1,-28.78
2.66,60,49,2,3,-20.99
2.85,57,35,0,3,-27.2
4.08,59,42,1,5,-28.69
3.89,37,50,1,3,-21.0
3.09,38,37,2,3,-25.06
4.67,35,48,3,4,-20.7
2.96,53,42,3,4,-21.26
2.52,32,44,1,3,-21.69
4.97,32,33,3,4,-25.12
2.56,34,25,2,5,-20.74
4.33,43,44,5,1,-19.12
3.83,55,45,3,0,-27.07
2.58,39,33,5,2,-27.09
2.56,48,32,5,5,-24.83
4.5,50,32,5,3,-24.96
3.77,40,47,5,5,-24.03
3.69,43,44,1,2,-22.36
4.84,32,43,4,3,-25.06
4.27,36,31,1,0,-26.42
2.72,54,33,0,2,-19.94
3.39,53,27,1,4,-18.16
4.53,58,37,5,1,-22.65
2.55,57,38,2,1,-25.61
3.63,33,48,4,1,-21.08
4.42,52,31,3,2,-20.44
4.71,35,47,4,1,-24.02
4.38,37,34,0,5,-25.6
3.58,46,44,5,4,-22.44
4.42,49,30,1,5,-22.42
4.03,53,28,5,2,-25.0
4.27,54,39,5,1,-19.55
4.51,52,26,0,3,-19.7
3.77,33,34,3,5,-23.44
3.95,58,38,4,0,-21.58
3.0,47,40,2,5,-22.67
4.29,49,38,4,0,-19.12
3.14,45,50,4,5,-23.89
4.83,54,46,0,5,-21.71
2.99,44,39,0,1,-25.2
3.08,40,50,4,2,-27.98
4.8,32,41,1,2,-21.91
2.95,60,45,1,5,-24.86
4.38,33,31,4,3,-20.65
4.88,38,32,2,3,-20.86
2.87,54,40,2,4,-28.46
4.97,34,44,1,2,-26.81
4.24,32,34,2,4,-25.67
4.24,51,29,0,5,-20.48
3.92,36,38,2,0,-25.87
2.53,39,44,3,0,-18.96
4.58,52,50,1,1,-26.36
4.78,30,41,3,5,-20.8
3.78,38,34,2,4,-22.27
3.08,56,25,5,3,-24.7
4.53,47,36,0,2,-27.67
2.86,41,44,4,0,-21.33
2.57,40,38,0,3,-27.65
4.42,60,34,0,4,-21.7
4.94,35,39,0,3,-19.74
2.61,31,26,5,1,-20.49
3.1,39,32,4,4,-20.75
2.59,43,44,5,3,-24.04
3.8,50,31,0,5,-18.97
3.95,41,41,4,3,-26.5
2.57,54,49,4,3,-28.33
2.77,44,49,1,4,-22.2
2.86,44,25,4,4,-18.59
3.35,36,28,4,4,-23.4
3.4,49,25,3,0,-22.41
2.72,30,48,5,2,-24.02
4.83,53,43,4,4,-28.74
3.67,46,26,2,5,-24.7
2.86,52,38,1,5,-21.99
3.14,35,33,2,1,-18.31
4.85,49,32,0,0,-21.27
2.46,52,49,0,3,-25.78
4.09,59,26,2,2,-27.4
2.56,38,34,0,5,-20.0
2.45,33,46,4,3,-18.84
3.41,53,28,4,0,-23.71
3.0,36,28,2,1,-18.94
3.93,37,48,1,3,-21.31
3.73,32,37,1,0,-25.92
4.46,56,36,4,5,-21.68
2.82,60,46,5,2,-28.29
3.28,30,28,3,4,-16.09
3.06,53,26,2,0,-26.87
3.91,55,50,2,2,-26.62
3.98,46,27,4,3,-24.12
2.8,40,50,5,3,-28.48
4.28,37,32,5,0,-17.59
3.59,52,29,1,1,-23.18
2.8,48,30,0,4,-21.69
2.74,34,32,3,4,-18.67
4.16,57,37,1,2,-28.32
2.85,43,41,4,1,-18.72
3.78,42,43,5,3,-27.27
4.14,37,37,0,2,-21.62
3.27,57,30,1,4,-26.38
3.59,52,27,5,4,-23.28
2.67,43,33,5,4,-27.24
3.46,56,26,4,5,-23.12
3.81,33,50,4,1,-27.03
4.43,46,40,2,3,-28.07
3.49,39,46,2,2,-27.25
2.91,39,50,4,3,-28.46
3.16,54,41,2,3,-28.46
3.02,57,34,2,4,-20.9
3.0,44,32,0,0,-23.66
3.18,40,37,4,0,-18.18
4.09,47,44,0,4,-20.08
2.48,53,49,5,4,-26.73
4.37,58,50,3,2,-21.78
4.4,54,50,3,2,-22.11
4.9,44,50,5,0,-19.73
3.86,55,33,4,2,-24.33
4.51,55,42,2,2,-26.57
3.15,58,47,2,5,-29.74
4.77,33,32,1,3,-20.41
2.96,41,31,2,0,-26.73
2.64,38,44,1,4,-23.62
4.34,38,28,3,5,-24.82
3.5,59,34,3,0,-25.76
2.73,45,25,4,2,-21.96
4.5,58,28,4,3,-21.45
3.35,42,34,0,2,-23.09
4.82,34,32,0,3,-25.36
4.42,43,43,4,5,-25.52
2.45,42,29,1,5,-21.11
4.5,53,44,5,3,-24.96
3.31,58,34,3,4,-24.74
2.54,50,26,1,0,-24.2
3.57,54,45,5,3,-27.52
2.8,46,38,3,0,-18.92
3.16,43,38,4,1,-23.94
4.32,58,42,0,4,-20.8
4.53,45,32,4,1,-20.98
4.56,44,32,3,4,-22.4
4.03,47,42,1,3,-19.99
4.24,46,28,4,2,-18.24
3.68,39,28,5,4,-25.65
3.15,43,44,3,5,-24.34
4.92,53,44,4,5,-26.04
2.56,44,49,0,5,-28.73
2.59,32,43,2,5,-26.88
2.7,55,25,4,5,-20.82
3.84,51,45,0,4,-27.89
3.46,41,32,1,3,-23.24
4.82,48,31,0,4,-26.84
4.22,32,33,4,0,-21.45
4.69,44,50,4,5,-26.97
4.04,50,32,3,2,-27.23
3.6,59,32,5,5,-20.0
4.44,51,34,0,3,-18.85
2.71,51,41,5,4,-25.7
2.84,42,48,5,4,-21.06
3.11,33,43,4,3,-22.5
3.0,42,45,4,1,-25.0
4.78,45,41,1,0,-26.9
4.33,43,42,4,4,-19.79
4.35,55,43,2,5,-27.81
2.43,50,49,1,2,-23.75
4.64,59,32,4,0,-21.37
4.37,57,29,1,0,-28.05
3.91,47,39,3,1,-28.13
4.32,60,33,1,2,-28.22
4.61,35,48,3,2,-27.98
4.46,55,26,3,4,-23.83
3.31,43,36,2,3,-24.24
2.86,56,39,0,1,-20.93
3.07,51,31,4,1,-24.24
3.62,32,36,2,4,-24.6
3.57,55,45,3,4,-23.09
3.81,53,46,0,1,-28.43
3.26,40,40,2,1,-25.46
3.81,42,40,3,2,-22.23
4.6,39,49,0,4,-24.3
4.92,56,42,0,4,-20.21
2.54,55,33,0,3,-27.79
3.45,60,44,3,1,-28.86
2.91,55,36,1,0,-23.11
3.23,30,45,2,4,-18.39
2.83,60,32,2,1,-26.48
3.4,47,42,5,5,-28.56
3.86,60,33,5,3,-23.41
2.78,44,25,4,2,-22.29
3.87,45,34,2,5,-22.88
4.13,36,30,4,5,-20.13
2.76,52,46,1,2,-27.69
3.97,39,36,2,3,-25.12
3.0,46,49,4,0,-25.94
3.03,32,34,1,5,-26.53
4.35,41,40,4,4,-21.54
3.9,54,28,3,5,-22.67
3.26,48,47,4,2,-23.72
2.79,37,31,4,3,-17.7
2.48,57,47,5,1,-23.53
4.28,45,25,3,4,-17.31
2.75,54,36,1,5,-21.4
2.84,59,35,2,5,-21.83
4.54,38,43,2,0,-27.79
4.55,34,46,3,4,-26.22
2.76,42,38,4,4,-18.69
4.58,36,34,5,3,-20.27
2.51,41,29,3,2,-22.44
4.33,49,29,2,3,-23.67
2.84,53,25,3,0,-20.64
4.45,44,37,3,5,-19.98
3.37,45,29,0,3,-26.89
3.62,31,36,1,3,-16.92
3.0,45,49,1,0,-25.21
4.1,56,29,0,1,-23.81
2.53,51,39,3,1,-28.11
4.08,55,25,1,2,-20.35
4.91,57,35,1,0,-28.41
3.17,45,50,5,4,-24.15
3.33,55,31,0,5,-28.13
3.46,56,41,5,3,-25.27
4.64,57,26,1,0,-21.96
5.0,42,40,3,4,-20.89
3.91,41,50,5,4,-27.68
2.54,54,42,0,5,-27.56
3.22,32,49,5,2,-25.47
3.37,34,45,0,0,-23.13
4.21,57,46,1,0,-24.41
4.8,38,27,2,4,-22.27
4.49,38,35,1,0,-27.27
4.99,52,43,3,1,-24.69
3.24,50,27,1,2,-20.35
3.59,53,45,2,1,-21.49
4.04,51,26,0,0,-18.09
3.06,58,39,1,0,-28.2
3.01,46,42,5,0,-24.03
3.66,42,31,3,0,-26.48
4.84,52,50,1,1,-25.09
2.85,34,47,3,3,-19.2
2.96,49,42,2,1,-26.37
4.91,32,44,5,3,-18.91
4.17,60,40,4,1,-27.39
3.76,54,42,5,3,-21.76
4.48,54,41,2,3,-22.93
3.89,37,50,5,5,-21.92
4.28,59,50,5,1,-21.15
3.9,58,31,1,0,-23.49
3.72,35,45,1,3,-20.93
4.79,57,43,0,1,-22.94
3.18,49,35,1,2,-23.4
4.33,39,37,2,1,-23.57
4.58,38,30,0,2,-25.81
4.24,41,46,0,2,-23.13
3.68,54,37,4,5,-28.78
3.68,50,42,1,1,-28.82
3.27,33,35,3,4,-19.21
2.9,51,30,4,0,-24.79
3.21,34,29,4,0,-22.29
4.63,33,49,3,2,-27.39
3.04,54,45,1,4,-19.96
4.63,47,48,1,2,-25.36
4.85,53,41,0,3,-20.58
4.34,38,33,4,1,-25.25
3.6,50,48,4,0,-19.91
4.31,59,42,2,5,-25.52
4.43,49,32,0,4,-18.81
3.49,36,44,1,1,-18.31
2.59,37,30,0,1,-18.28
3.07,32,44,3,4,-21.85
3.4,35,27,1,3,-18.99
2.83,45,46,5,0,-28.51
4.25,36,50,3,2,-19.85
3.9,33,45,0,0,-22.48
3.33,30,41,2,2,-17.36
3.93,33,39,2,1,-19.7
4.68,44,44,3,4,-20.81
4.32,59,32,5,0,-26.16
3.89,52,46,5,3,-29.58
3.05,60,42,3,0,-22.39
4.5,37,31,3,0,-18.76
3.85,47,37,2,5,-26.14
2.57,60,30,3,0,-23.61
4.05,57,45,0,3,-23.49
3.83,31,26,5,1,-18.75
4.02,55,48,5,5,-29.13
2.6,30,46,2,4,-27.0
2.79,38,46,4,4,-28.06
2.47,54,31,5,4,-21.65
4.47,31,30,5,4,-24.31
2.43,51,50,5,1,-27.39
3.27,31,45,3,5,-24.75
4.6,39,47,1,1,-27.71
4.98,37,36,4,1,-19.7
4.32,40,40,5,0,-20.62
3.0,48,40,0,0,-23.59
3.3,50,41,3,5,-26.93
